List of Sophie Germain primes from 1 to 100000.,,,,,,,,,,,,,,,,,,,,,,,,,
2543.0,5087.0,,,,,,,,,,,,,,,,,,,,,,,,
2549.0,5099.0,,,,,,,,,,,,,,,,,,,,,,,,
2693.0,5387.0,,,,,,,,,,,,,,,,,,,,,,,,
2699.0,5399.0,,,,,,,,,,,,,,,,,,,,,,,,
2741.0,5483.0,,,,,,,,,,,,,,,,,,,,,,,,
2753.0,5507.0,,,,,,,,,,,,,,,,,,,,,,,,
2819.0,5639.0,,,,,,,,,,,,,,,,,,,,,,,,
2903.0,5807.0,,,,,,,,,,,,,,,,,,,,,,,,
2939.0,5879.0,,,,,,,,,,,,,,,,,,,,,,,,
2963.0,5927.0,,,,,,,,,,,,,,,,,,,,,,,,
2969.0,5939.0,,,,,,,,,,,,,,,,,,,,,,,,
3023.0,6047.0,,,,,,,,,,,,,,,,,,,,,,,,
3299.0,6599.0,,,,,,,,,,,,,,,,,,,,,,,,
3329.0,6659.0,,,,,,,,,,,,,,,,,,,,,,,,
3359.0,6719.0,,,,,,,,,,,,,,,,,,,,,,,,
3389.0,6779.0,,,,,,,,,,,,,,,,,,,,,,,,
3413.0,6827.0,,,,,,,,,,,,,,,,,,,,,,,,
3449.0,6899.0,,,,,,,,,,,,,,,,,,,,,,,,
3491.0,6983.0,,,,,,,,,,,,,,,,,,,,,,,,
3539.0,7079.0,,,,,,,,,,,,,,,,,,,,,,,,
3593.0,7187.0,,,,,,,,,,,,,,,,,,,,,,,,
3623.0,7247.0,,,,,,,,,,,,,,,,,,,,,,,,
3761.0,7523.0,,,,,,,,,,,,,,,,,,,,,,,,
3779.0,7559.0,,,,,,,,,,,,,,,,,,,,,,,,
3803.0,7607.0,,,,,,,,,,,,,,,,,,,,,,,,
3821.0,7643.0,,,,,,,,,,,,,,,,,,,,,,,,
3851.0,7703.0,,,,,,,,,,,,,,,,,,,,,,,,
3863.0,7727.0,,,,,,,,,,,,,,,,,,,,,,,,
3911.0,7823.0,,,,,,,,,,,,,,,,,,,,,,,,
4019.0,8039.0,,,,,,,,,,,,,,,,,,,,,,,,
4073.0,8147.0,,,,,,,,,,,,,,,,,,,,,,,,
4211.0,8423.0,,,,,,,,,,,,,,,,,,,,,,,,
4271.0,8543.0,,,,,,,,,,,,,,,,,,,,,,,,
4349.0,8699.0,,,,,,,,,,,,,,,,,,,,,,,,
4373.0,8747.0,,,,,,,,,,,,,,,,,,,,,,,,
4391.0,8783.0,,,,,,,,,,,,,,,,,,,,,,,,
4409.0,8819.0,,,,,,,,,,,,,,,,,,,,,,,,
4481.0,8963.0,,,,,,,,,,,,,,,,,,,,,,,,
4733.0,9467.0,,,,,,,,,,,,,,,,,,,,,,,,
4793.0,9587.0,,,,,,,,,,,,,,,,,,,,,,,,
4871.0,9743.0,,,,,,,,,,,,,,,,,,,,,,,,
4919.0,9839.0,,,,,,,,,,,,,,,,,,,,,,,,
4943.0,9887.0,,,,,,,,,,,,,,,,,,,,,,,,
5003.0,10007.0,,,,,,,,,,,,,,,,,,,,,,,,
5039.0,10079.0,,,,,,,,,,,,,,,,,,,,,,,,
5051.0,10103.0,,,,,,,,,,,,,,,,,,,,,,,,
5081.0,10163.0,,,,,,,,,,,,,,,,,,,,,,,,
5171.0,10343.0,,,,,,,,,,,,,,,,,,,,,,,,
5231.0,10463.0,,,,,,,,,,,,,,,,,,,,,,,,
5279.0,10559.0,,,,,,,,,,,,,,,,,,,,,,,,
5303.0,10607.0,,,,,,,,,,,,,,,,,,,,,,,,
5333.0,10667.0,,,,,,,,,,,,,,,,,,,,,,,,
5399.0,10799.0,,,,,,,,,,,,,,,,,,,,,,,,
5441.0,10883.0,,,,,,,,,,,,,,,,,,,,,,,,
5501.0,11003.0,,,,,,,,,,,,,,,,,,,,,,,,
5639.0,11279.0,,,,,,,,,,,,,,,,,,,,,,,,
5711.0,11423.0,,,,,,,,,,,,,,,,,,,,,,,,
5741.0,11483.0,,,,,,,,,,,,,,,,,,,,,,,,
5849.0,11699.0,,,,,,,,,,,,,,,,,,,,,,,,
5903.0,11807.0,,,,,,,,,,,,,,,,,,,,,,,,
6053.0,12107.0,,,,,,,,,,,,,,,,,,,,,,,,
6101.0,12203.0,,,,,,,,,,,,,,,,,,,,,,,,
6113.0,12227.0,,,,,,,,,,,,,,,,,,,,,,,,
6131.0,12263.0,,,,,,,,,,,,,,,,,,,,,,,,
6173.0,12347.0,,,,,,,,,,,,,,,,,,,,,,,,
6263.0,12527.0,,,,,,,,,,,,,,,,,,,,,,,,
6269.0,12539.0,,,,,,,,,,,,,,,,,,,,,,,,
6323.0,12647.0,,,,,,,,,,,,,,,,,,,,,,,,
6329.0,12659.0,,,,,,,,,,,,,,,,,,,,,,,,
6449.0,12899.0,,,,,,,,,,,,,,,,,,,,,,,,
6491.0,12983.0,,,,,,,,,,,,,,,,,,,,,,,,
6521.0,13043.0,,,,,,,,,,,,,,,,,,,,,,,,
6551.0,13103.0,,,,,,,,,,,,,,,,,,,,,,,,
6563.0,13127.0,,,,,,,,,,,,,,,,,,,,,,,,
6581.0,13163.0,,,,,,,,,,,,,,,,,,,,,,,,
6761.0,13523.0,,,,,,,,,,,,,,,,,,,,,,,,
6899.0,13799.0,,,,,,,,,,,,,,,,,,,,,,,,
6983.0,13967.0,,,,,,,,,,,,,,,,,,,,,,,,
7043.0,14087.0,,,,,,,,,,,,,,,,,,,,,,,,
7079.0,14159.0,,,,,,,,,,,,,,,,,,,,,,,,
7103.0,14207.0,,,,,,,,,,,,,,,,,,,,,,,,
7121.0,14243.0,,,,,,,,,,,,,,,,,,,,,,,,
7151.0,14303.0,,,,,,,,,,,,,,,,,,,,,,,,
7193.0,14387.0,,,,,,,,,,,,,,,,,,,,,,,,
7211.0,14423.0,,,,,,,,,,,,,,,,,,,,,,,,
7349.0,14699.0,,,,,,,,,,,,,,,,,,,,,,,,
7433.0,14867.0,,,,,,,,,,,,,,,,,,,,,,,,
7541.0,15083.0,,,,,,,,,,,,,,,,,,,,,,,,
7643.0,15287.0,,,,,,,,,,,,,,,,,,,,,,,,
7649.0,15299.0,,,,,,,,,,,,,,,,,,,,,,,,
7691.0,15383.0,,,,,,,,,,,,,,,,,,,,,,,,
7823.0,15647.0,,,,,,,,,,,,,,,,,,,,,,,,
7841.0,15683.0,,,,,,,,,,,,,,,,,,,,,,,,
7883.0,15767.0,,,,,,,,,,,,,,,,,,,,,,,,
7901.0,15803.0,,,,,,,,,,,,,,,,,,,,,,,,
8069.0,16139.0,,,,,,,,,,,,,,,,,,,,,,,,
8093.0,16187.0,,,,,,,,,,,,,,,,,,,,,,,,
8111.0,16223.0,,,,,,,,,,,,,,,,,,,,,,,,
8243.0,16487.0,,,,,,,,,,,,,,,,,,,,,,,,
8273.0,16547.0,,,,,,,,,,,,,,,,,,,,,,,,
8513.0,17027.0,,,,,,,,,,,,,,,,,,,,,,,,
8663.0,17327.0,,,,,,,,,,,,,,,,,,,,,,,,
8693.0,17387.0,,,,,,,,,,,,,,,,,,,,,,,,
8741.0,17483.0,,,,,,,,,,,,,,,,,,,,,,,,
8951.0,17903.0,,,,,,,,,,,,,,,,,,,,,,,,
8969.0,17939.0,,,,,,,,,,,,,,,,,,,,,,,,
9029.0,18059.0,,,,,,,,,,,,,,,,,,,,,,,,
9059.0,18119.0,,,,,,,,,,,,,,,,,,,,,,,,
9221.0,18443.0,,,,,,,,,,,,,,,,,,,,,,,,
9293.0,18587.0,,,,,,,,,,,,,,,,,,,,,,,,
9371.0,18743.0,,,,,,,,,,,,,,,,,,,,,,,,
9419.0,18839.0,,,,,,,,,,,,,,,,,,,,,,,,
9473.0,18947.0,,,,,,,,,,,,,,,,,,,,,,,,
9479.0,18959.0,,,,,,,,,,,,,,,,,,,,,,,,
9539.0,19079.0,,,,,,,,,,,,,,,,,,,,,,,,
9629.0,19259.0,,,,,,,,,,,,,,,,,,,,,,,,
9689.0,19379.0,,,,,,,,,,,,,,,,,,,,,,,,
9791.0,19583.0,,,,,,,,,,,,,,,,,,,,,,,,
"From 10,000 to 19,999",,,,,,,,,,,,,,,,,,,,,,,,,
n,2n+1,,,,,,,,,,,,,,,,,,,,,,,,
10061.0,20123.0,,,,,,,,,,,,,,,,,,,,,,,,
10091.0,20183.0,,,,,,,,,,,,,,,,,,,,,,,,
10163.0,20327.0,,,,,,,,,,,,,,,,,,,,,,,,
10253.0,20507.0,,,,,,,,,,,,,,,,,,,,,,,,
10271.0,20543.0,,,,,,,,,,,,,,,,,,,,,,,,
10313.0,20627.0,,,,,,,,,,,,,,,,,,,,,,,,
10331.0,20663.0,,,,,,,,,,,,,,,,,,,,,,,,
10529.0,21059.0,,,,,,,,,,,,,,,,,,,,,,,,
10589.0,21179.0,,,,,,,,,,,,,,,,,,,,,,,,
10613.0,21227.0,,,,,,,,,,,,,,,,,,,,,,,,
10691.0,21383.0,,,,,,,,,,,,,,,,,,,,,,,,
10709.0,21419.0,,,,,,,,,,,,,,,,,,,,,,,,
10733.0,21467.0,,,,,,,,,,,,,,,,,,,,,,,,
10781.0,21563.0,,,,,,,,,,,,,,,,,,,,,,,,
10799.0,21599.0,,,,,,,,,,,,,,,,,,,,,,,,
10883.0,21767.0,,,,,,,,,,,,,,,,,,,,,,,,
11171.0,22343.0,,,,,,,,,,,,,,,,,,,,,,,,
11321.0,22643.0,,,,,,,,,,,,,,,,,,,,,,,,
11369.0,22739.0,,,,,,,,,,,,,,,,,,,,,,,,
11393.0,22787.0,,,,,,,,,,,,,,,,,,,,,,,,
11471.0,22943.0,,,,,,,,,,,,,,,,,,,,,,,,
11519.0,23039.0,,,,,,,,,,,,,,,,,,,,,,,,
11549.0,23099.0,,,,,,,,,,,,,,,,,,,,,,,,
11579.0,23159.0,,,,,,,,,,,,,,,,,,,,,,,,
11699.0,23399.0,,,,,,,,,,,,,,,,,,,,,,,,
11783.0,23567.0,,,,,,,,,,,,,,,,,,,,,,,,
11801.0,23603.0,,,,,,,,,,,,,,,,,,,,,,,,
11813.0,23627.0,,,,,,,,,,,,,,,,,,,,,,,,
11831.0,23663.0,,,,,,,,,,,,,,,,,,,,,,,,
11909.0,23819.0,,,,,,,,,,,,,,,,,,,,,,,,
11939.0,23879.0,,,,,,,,,,,,,,,,,,,,,,,,
12011.0,24023.0,,,,,,,,,,,,,,,,,,,,,,,,
12041.0,24083.0,,,,,,,,,,,,,,,,,,,,,,,,
12101.0,24203.0,,,,,,,,,,,,,,,,,,,,,,,,
12119.0,24239.0,,,,,,,,,,,,,,,,,,,,,,,,
12203.0,24407.0,,,,,,,,,,,,,,,,,,,,,,,,
12263.0,24527.0,,,,,,,,,,,,,,,,,,,,,,,,
12329.0,24659.0,,,,,,,,,,,,,,,,,,,,,,,,
12653.0,25307.0,,,,,,,,,,,,,,,,,,,,,,,,
12671.0,25343.0,,,,,,,,,,,,,,,,,,,,,,,,
12791.0,25583.0,,,,,,,,,,,,,,,,,,,,,,,,
12821.0,25643.0,,,,,,,,,,,,,,,,,,,,,,,,
12899.0,25799.0,,,,,,,,,,,,,,,,,,,,,,,,
12923.0,25847.0,,,,,,,,,,,,,,,,,,,,,,,,
12959.0,25919.0,,,,,,,,,,,,,,,,,,,,,,,,
13001.0,26003.0,,,,,,,,,,,,,,,,,,,,,,,,
13049.0,26099.0,,,,,,,,,,,,,,,,,,,,,,,,
13229.0,26459.0,,,,,,,,,,,,,,,,,,,,,,,,
13313.0,26627.0,,,,,,,,,,,,,,,,,,,,,,,,
13451.0,26903.0,,,,,,,,,,,,,,,,,,,,,,,,
13463.0,26927.0,,,,,,,,,,,,,,,,,,,,,,,,
13553.0,27107.0,,,,,,,,,,,,,,,,,,,,,,,,
13619.0,27239.0,,,,,,,,,,,,,,,,,,,,,,,,
13649.0,27299.0,,,,,,,,,,,,,,,,,,,,,,,,
13763.0,27527.0,,,,,,,,,,,,,,,,,,,,,,,,
13883.0,27767.0,,,,,,,,,,,,,,,,,,,,,,,,
13901.0,27803.0,,,,,,,,,,,,,,,,,,,,,,,,
13913.0,27827.0,,,,,,,,,,,,,,,,,,,,,,,,
14009.0,28019.0,,,,,,,,,,,,,,,,,,,,,,,,
14081.0,28163.0,,,,,,,,,,,,,,,,,,,,,,,,
14153.0,28307.0,,,,,,,,,,,,,,,,,,,,,,,,
14159.0,28319.0,,,,,,,,,,,,,,,,,,,,,,,,
14249.0,28499.0,,,,,,,,,,,,,,,,,,,,,,,,
14303.0,28607.0,,,,,,,,,,,,,,,,,,,,,,,,
14321.0,28643.0,,,,,,,,,,,,,,,,,,,,,,,,
14489.0,28979.0,,,,,,,,,,,,,,,,,,,,,,,,
14561.0,29123.0,,,,,,,,,,,,,,,,,,,,,,,,
14621.0,29243.0,,,,,,,,,,,,,,,,,,,,,,,,
14669.0,29339.0,,,,,,,,,,,,,,,,,,,,,,,,
14699.0,29399.0,,,,,,,,,,,,,,,,,,,,,,,,
14741.0,29483.0,,,,,,,,,,,,,,,,,,,,,,,,
14783.0,29567.0,,,,,,,,,,,,,,,,,,,,,,,,
14831.0,29663.0,,,,,,,,,,,,,,,,,,,,,,,,
14879.0,29759.0,,,,,,,,,,,,,,,,,,,,,,,,
14939.0,29879.0,,,,,,,,,,,,,,,,,,,,,,,,
15101.0,30203.0,,,,,,,,,,,,,,,,,,,,,,,,
15161.0,30323.0,,,,,,,,,,,,,,,,,,,,,,,,
15173.0,30347.0,,,,,,,,,,,,,,,,,,,,,,,,
15233.0,30467.0,,,,,,,,,,,,,,,,,,,,,,,,
15269.0,30539.0,,,,,,,,,,,,,,,,,,,,,,,,
15401.0,30803.0,,,,,,,,,,,,,,,,,,,,,,,,
15569.0,31139.0,,,,,,,,,,,,,,,,,,,,,,,,
15629.0,31259.0,,,,,,,,,,,,,,,,,,,,,,,,
15773.0,31547.0,,,,,,,,,,,,,,,,,,,,,,,,
15791.0,31583.0,,,,,,,,,,,,,,,,,,,,,,,,
15803.0,31607.0,,,,,,,,,,,,,,,,,,,,,,,,
15923.0,31847.0,,,,,,,,,,,,,,,,,,,,,,,,
16001.0,32003.0,,,,,,,,,,,,,,,,,,,,,,,,
16091.0,32183.0,,,,,,,,,,,,,,,,,,,,,,,,
16253.0,32507.0,,,,,,,,,,,,,,,,,,,,,,,,
16301.0,32603.0,,,,,,,,,,,,,,,,,,,,,,,,
16421.0,32843.0,,,,,,,,,,,,,,,,,,,,,,,,
16493.0,32987.0,,,,,,,,,,,,,,,,,,,,,,,,
16553.0,33107.0,,,,,,,,,,,,,,,,,,,,,,,,
16673.0,33347.0,,,,,,,,,,,,,,,,,,,,,,,,
16811.0,33623.0,,,,,,,,,,,,,,,,,,,,,,,,
16823.0,33647.0,,,,,,,,,,,,,,,,,,,,,,,,
16883.0,33767.0,,,,,,,,,,,,,,,,,,,,,,,,
16931.0,33863.0,,,,,,,,,,,,,,,,,,,,,,,,
17159.0,34319.0,,,,,,,,,,,,,,,,,,,,,,,,
17183.0,34367.0,,,,,,,,,,,,,,,,,,,,,,,,
17291.0,34583.0,,,,,,,,,,,,,,,,,,,,,,,,
17333.0,34667.0,,,,,,,,,,,,,,,,,,,,,,,,
17351.0,34703.0,,,,,,,,,,,,,,,,,,,,,,,,
17579.0,35159.0,,,,,,,,,,,,,,,,,,,,,,,,
17669.0,35339.0,,,,,,,,,,,,,,,,,,,,,,,,
17681.0,35363.0,,,,,,,,,,,,,,,,,,,,,,,,
17939.0,35879.0,,,,,,,,,,,,,,,,,,,,,,,,
17981.0,35963.0,,,,,,,,,,,,,,,,,,,,,,,,
18041.0,36083.0,,,,,,,,,,,,,,,,,,,,,,,,
18131.0,36263.0,,,,,,,,,,,,,,,,,,,,,,,,
18149.0,36299.0,,,,,,,,,,,,,,,,,,,,,,,,
18191.0,36383.0,,,,,,,,,,,,,,,,,,,,,,,,
18233.0,36467.0,,,,,,,,,,,,,,,,,,,,,,,,
18341.0,36683.0,,,,,,,,,,,,,,,,,,,,,,,,
18443.0,36887.0,,,,,,,,,,,,,,,,,,,,,,,,
18461.0,36923.0,,,,,,,,,,,,,,,,,,,,,,,,
18731.0,37463.0,,,,,,,,,,,,,,,,,,,,,,,,
18773.0,37547.0,,,,,,,,,,,,,,,,,,,,,,,,
18803.0,37607.0,,,,,,,,,,,,,,,,,,,,,,,,
18899.0,37799.0,,,,,,,,,,,,,,,,,,,,,,,,
19163.0,38327.0,,,,,,,,,,,,,,,,,,,,,,,,
19301.0,38603.0,,,,,,,,,,,,,,,,,,,,,,,,
19319.0,38639.0,,,,,,,,,,,,,,,,,,,,,,,,
19373.0,38747.0,,,,,,,,,,,,,,,,,,,,,,,,
19391.0,38783.0,,,,,,,,,,,,,,,,,,,,,,,,
19433.0,38867.0,,,,,,,,,,,,,,,,,,,,,,,,
19553.0,39107.0,,,,,,,,,,,,,,,,,,,,,,,,
19559.0,39119.0,,,,,,,,,,,,,,,,,,,,,,,,
19661.0,39323.0,,,,,,,,,,,,,,,,,,,,,,,,
19709.0,39419.0,,,,,,,,,,,,,,,,,,,,,,,,
19751.0,39503.0,,,,,,,,,,,,,,,,,,,,,,,,
19889.0,39779.0,,,,,,,,,,,,,,,,,,,,,,,,
19913.0,39827.0,,,,,,,,,,,,,,,,,,,,,,,,
19919.0,39839.0,,,,,,,,,,,,,,,,,,,,,,,,
19991.0,39983.0,,,,,,,,,,,,,,,,,,,,,,,,
20063.0,40127.0,,,,,,,,,,,,,,,,,,,,,,,,
20249.0,40499.0,,,,,,,,,,,,,,,,,,,,,,,,
20369.0,40739.0,,,,,,,,,,,,,,,,,,,,,,,,
20393.0,40787.0,,,,,,,,,,,,,,,,,,,,,,,,
20411.0,40823.0,,,,,,,,,,,,,,,,,,,,,,,,
20441.0,40883.0,,,,,,,,,,,,,,,,,,,,,,,,
20693.0,41387.0,,,,,,,,,,,,,,,,,,,,,,,,
20753.0,41507.0,,,,,,,,,,,,,,,,,,,,,,,,
20759.0,41519.0,,,,,,,,,,,,,,,,,,,,,,,,
20771.0,41543.0,,,,,,,,,,,,,,,,,,,,,,,,
20789.0,41579.0,,,,,,,,,,,,,,,,,,,,,,,,
20879.0,41759.0,,,,,,,,,,,,,,,,,,,,,,,,
20921.0,41843.0,,,,,,,,,,,,,,,,,,,,,,,,
20939.0,41879.0,,,,,,,,,,,,,,,,,,,,,,,,
20963.0,41927.0,,,,,,,,,,,,,,,,,,,,,,,,
21011.0,42023.0,,,,,,,,,,,,,,,,,,,,,,,,
21089.0,42179.0,,,,,,,,,,,,,,,,,,,,,,,,
21149.0,42299.0,,,,,,,,,,,,,,,,,,,,,,,,
21179.0,42359.0,,,,,,,,,,,,,,,,,,,,,,,,
21221.0,42443.0,,,,,,,,,,,,,,,,,,,,,,,,
21341.0,42683.0,,,,,,,,,,,,,,,,,,,,,,,,
21383.0,42767.0,,,,,,,,,,,,,,,,,,,,,,,,
21419.0,42839.0,,,,,,,,,,,,,,,,,,,,,,,,
21611.0,43223.0,,,,,,,,,,,,,,,,,,,,,,,,
21701.0,43403.0,,,,,,,,,,,,,,,,,,,,,,,,
21713.0,43427.0,,,,,,,,,,,,,,,,,,,,,,,,
21803.0,43607.0,,,,,,,,,,,,,,,,,,,,,,,,
21893.0,43787.0,,,,,,,,,,,,,,,,,,,,,,,,
22013.0,44027.0,,,,,,,,,,,,,,,,,,,,,,,,
22079.0,44159.0,,,,,,,,,,,,,,,,,,,,,,,,
22133.0,44267.0,,,,,,,,,,,,,,,,,,,,,,,,
22259.0,44519.0,,,,,,,,,,,,,,,,,,,,,,,,
22271.0,44543.0,,,,,,,,,,,,,,,,,,,,,,,,
22343.0,44687.0,,,,,,,,,,,,,,,,,,,,,,,,
22349.0,44699.0,,,,,,,,,,,,,,,,,,,,,,,,
22409.0,44819.0,,,,,,,,,,,,,,,,,,,,,,,,
22433.0,44867.0,,,,,,,,,,,,,,,,,,,,,,,,
22469.0,44939.0,,,,,,,,,,,,,,,,,,,,,,,,
22481.0,44963.0,,,,,,,,,,,,,,,,,,,,,,,,
22541.0,45083.0,,,,,,,,,,,,,,,,,,,,,,,,
22751.0,45503.0,,,,,,,,,,,,,,,,,,,,,,,,
22853.0,45707.0,,,,,,,,,,,,,,,,,,,,,,,,
22943.0,45887.0,,,,,,,,,,,,,,,,,,,,,,,,
23099.0,46199.0,,,,,,,,,,,,,,,,,,,,,,,,
23279.0,46559.0,,,,,,,,,,,,,,,,,,,,,,,,
23321.0,46643.0,,,,,,,,,,,,,,,,,,,,,,,,
23339.0,46679.0,,,,,,,,,,,,,,,,,,,,,,,,
23459.0,46919.0,,,,,,,,,,,,,,,,,,,,,,,,
23561.0,47123.0,,,,,,,,,,,,,,,,,,,,,,,,
23603.0,47207.0,,,,,,,,,,,,,,,,,,,,,,,,
23669.0,47339.0,,,,,,,,,,,,,,,,,,,,,,,,
23753.0,47507.0,,,,,,,,,,,,,,,,,,,,,,,,
23819.0,47639.0,,,,,,,,,,,,,,,,,,,,,,,,
23909.0,47819.0,,,,,,,,,,,,,,,,,,,,,,,,
23981.0,47963.0,,,,,,,,,,,,,,,,,,,,,,,,
24203.0,48407.0,,,,,,,,,,,,,,,,,,,,,,,,
24239.0,48479.0,,,,,,,,,,,,,,,,,,,,,,,,
24281.0,48563.0,,,,,,,,,,,,,,,,,,,,,,,,
24473.0,48947.0,,,,,,,,,,,,,,,,,,,,,,,,
24509.0,49019.0,,,,,,,,,,,,,,,,,,,,,,,,
24551.0,49103.0,,,,,,,,,,,,,,,,,,,,,,,,
24611.0,49223.0,,,,,,,,,,,,,,,,,,,,,,,,
24683.0,49367.0,,,,,,,,,,,,,,,,,,,,,,,,
24749.0,49499.0,,,,,,,,,,,,,,,,,,,,,,,,
24971.0,49943.0,,,,,,,,,,,,,,,,,,,,,,,,
25073.0,50147.0,,,,,,,,,,,,,,,,,,,,,,,,
25229.0,50459.0,,,,,,,,,,,,,,,,,,,,,,,,
25523.0,51047.0,,,,,,,,,,,,,,,,,,,,,,,,
25601.0,51203.0,,,,,,,,,,,,,,,,,,,,,,,,
25643.0,51287.0,,,,,,,,,,,,,,,,,,,,,,,,
25673.0,51347.0,,,,,,,,,,,,,,,,,,,,,,,,
25703.0,51407.0,,,,,,,,,,,,,,,,,,,,,,,,
25799.0,51599.0,,,,,,,,,,,,,,,,,,,,,,,,
25841.0,51683.0,,,,,,,,,,,,,,,,,,,,,,,,
25913.0,51827.0,,,,,,,,,,,,,,,,,,,,,,,,
25919.0,51839.0,,,,,,,,,,,,,,,,,,,,,,,,
26111.0,52223.0,,,,,,,,,,,,,,,,,,,,,,,,
26189.0,52379.0,,,,,,,,,,,,,,,,,,,,,,,,
26459.0,52919.0,,,,,,,,,,,,,,,,,,,,,,,,
26501.0,53003.0,,,,,,,,,,,,,,,,,,,,,,,,
